Diameter (m),Linear Weight In Air (kg/m),Linear Weight In Water (kg/m),MBF (N),Max length (m),EA at 10% MBF (N),EA at 20% MBF (N),EA at 30% MBF (N),EA at 40% MBF (N),EA at 50% MBF (N)
0.138,12.2,3.1,4905000,8197,5.45E+07,3.77E+07,3.59E+07,3.50E+07,3.50E+07
0.149,14.3,3.7,5886000,6993,6.54E+07,4.53E+07,4.31E+07,4.20E+07,4.20E+07
0.16,16.4,4.2,6867000,6098,7.63E+07,5.28E+07,5.02E+07,4.91E+07,4.90E+07
0.169,18.4,4.7,7848000,5435,8.72E+07,6.04E+07,5.74E+07,5.61E+07,5.61E+07
0.178,20.4,5.3,8829000,4900,9.81E+07,6.79E+07,6.46E+07,6.31E+07,6.31E+07
0.187,22.5,5.8,9810000,4450,1.09E+08,7.55E+07,7.18E+07,7.01E+07,7.01E+07
0.195,24.4,6.3,10791000,4095,1.20E+08,8.30E+07,7.90E+07,7.71E+07,7.71E+07
0.203,26.5,6.8,11772000,3776,1.31E+08,9.06E+07,8.61E+07,8.41E+07,8.41E+07
0.213,29.4,7.6,12753000,3397,1.42E+08,9.81E+07,9.33E+07,9.11E+07,9.11E+07
0.219,31.3,8.1,13734000,3195,1.53E+08,1.06E+08,1.00E+08,9.81E+07,9.81E+07
0.226,33.4,8.6,14715000,2996,1.63E+08,1.13E+08,1.08E+08,1.05E+08,1.05E+08
0.234,35.6,9.2,15696000,2809,1.74E+08,1.21E+08,1.15E+08,1.12E+08,1.12E+08
0.24,37.5,9.7,16677000,2665,1.85E+08,1.28E+08,1.22E+08,1.19E+08,1.19E+08
0.248,39.5,10.2,17658000,2532,1.96E+08,1.36E+08,1.29E+08,1.26E+08,1.26E+08
0.254,42.5,10.9,18639000,2353,2.07E+08,1.43E+08,1.36E+08,1.33E+08,1.33E+08
0.26,44.6,11.5,19620000,2242,2.18E+08,1.51E+08,1.44E+08,1.40E+08,1.40E+08
0.266,46.5,12,20601000,2151,2.29E+08,1.58E+08,1.51E+08,1.47E+08,1.47E+08
0.271,48.5,12.5,21582000,2062,2.40E+08,1.66E+08,1.58E+08,1.54E+08,1.54E+08
0.277,50.7,13,22563000,1972,2.51E+08,1.74E+08,1.65E+08,1.61E+08,1.61E+08
0.282,52.7,13.6,23544000,1898,2.62E+08,1.81E+08,1.72E+08,1.68E+08,1.68E+08
0.29,55.8,14.4,24525000,1792,2.72E+08,1.89E+08,1.79E+08,1.75E+08,1.75E+08
0.295,57.9,14.9,25506000,1727,2.83E+08,1.96E+08,1.87E+08,1.82E+08,1.82E+08
0.3,59.9,15.4,26487000,1669,2.94E+08,2.04E+08,1.94E+08,1.89E+08,1.89E+08
0.305,61.9,15.9,27468000,1616,3.05E+08,2.11E+08,2.01E+08,1.96E+08,1.96E+08
0.31,64,16.5,28449000,1563,3.16E+08,2.19E+08,2.08E+08,2.03E+08,2.03E+08
0.315,66,17,29430000,1515,3.27E+08,2.26E+08,2.15E+08,2.10E+08,2.10E+08
